Top queries,8/1/25 - 8/31/25 Clicks,7/1/25 - 7/31/25 Clicks,8/1/25 - 8/31/25 Impressions,7/1/25 - 7/31/25 Impressions,8/1/25 - 8/31/25 CTR,7/1/25 - 7/31/25 CTR,8/1/25 - 8/31/25 Position,7/1/25 - 7/31/25 Position
kokomo art association,33,3,46,6,0.7174,0.5,1,1
kaa online,3,0,9,2,0.3333,0,8.78,13
kokomo art gallery,2,1,12,4,0.1667,0.25,1.75,2
artworks gallery,1,1,52,8,0.0192,0.125,59.08,60.38
ramona daniels,1,0,23,10,0.0435,0,7.17,6.7
kokomo art center,1,0,21,9,0.0476,0,2.29,2.78
recycled art exhibition,1,0,4,0,0.25,0,17.25,0
art near me,1,0,3,0,0.3333,0,3.67,0
art classes near me,1,0,2,0,0.5,0,2.5,0
painting party near me,1,0,1,0,1,0,8,0
kaaonline,0,1,309,93,0,0.0108,6.35,6.11
indiana artists,0,0,28,8,0,0,44.21,59.62
kokomo canvas,0,0,27,2,0,0,9.96,9.5
yoga studio kokomo,0,0,25,6,0,0,46.08,42.33
pottery painting kokomo,0,0,18,1,0,0,10.17,8
steve creighton,0,0,16,6,0,0,14.06,7.33
kokomo pottery,0,0,14,5,0,0,11.21,10
photography kokomo,0,0,13,7,0,0,26.38,37.71
painting near me,0,0,12,4,0,0,7.58,8.5
pottery kokomo,0,0,12,10,0,0,10.42,9.8
photography kokomo indiana,0,0,12,4,0,0,44.08,43.5
indiana art,0,0,10,2,0,0,66.6,66
kokomo in know 2.0,0,0,9,0,0,0,6.44,0
kaa website,0,2,7,3,0,0.6667,9.71,16.33
kokomo center,0,0,7,2,0,0,38.71,44
kokomo,0,0,6,46,0,0,11.33,61.11
downtown kokomo indiana,0,0,6,3,0,0,27,28
"""art association"" housed in high school midwest",0,0,5,0,0,0,1,0
art museum,0,0,5,0,0,0,3.8,0
kaa gallery,0,0,5,1,0,0,6.8,6
pottery classes near me,0,0,5,1,0,0,7,6
www.kaa,0,0,5,4,0,0,7.6,7.25
kaa art,0,0,5,2,0,0,16.8,16
kokomo art,0,0,4,0,0,0,2.5,0
painting classes near me,0,0,4,0,0,0,5.25,0
peggy hobson,0,0,4,4,0,0,8,10.75
art association,0,0,4,1,0,0,9.5,5
downtown kokomo,0,0,4,0,0,0,29,0
logansport art association,0,0,4,0,0,0,29.75,0
recycled art for sale,0,0,4,1,0,0,39,26
at artworks,0,0,4,0,0,0,40.25,0
kokomo website,0,0,4,2,0,0,42.75,43
"daniels oil painting -site:wikipedia.org -site:youtube.com -site:amazon.com 
-site:artsper.com -site:artprice.com -site:facebook.com -site:x.com 
-site:perrotin.com -site:artmajeur.com -site:singulart.com 
-site:instagram.com -site:.gov",0,0,4,0,0,0,53.75,0
ramona painting,0,0,4,1,0,0,55.75,43
artist in indiana,0,0,4,1,0,0,69.75,79
art works gallery,0,0,4,1,0,0,70.25,87
paint and sip,0,0,3,1,0,0,4.67,7
pottery near me,0,0,3,0,0,0,8.33,0
paint and sip near me,0,0,3,0,0,0,12.33,0
indiana art association,0,0,3,1,0,0,13,21
aleman artist,0,0,3,1,0,0,35.33,17
artists in indiana,0,0,3,1,0,0,60,52
"kokomo curtain call, performance art theatre, kokomo",0,0,3,0,0,0,77,0
sugar creek art center,0,0,3,0,0,0,80.33,0
things to do in kokomo indiana,0,0,2,0,0,0,1,0
art gallery,0,0,2,0,0,0,2,0
art gallery near me,0,0,2,1,0,0,2,2
art museums near me,0,0,2,0,0,0,2,0
art museum near me,0,0,2,1,0,0,3,2
pottery lessons near me,0,0,2,1,0,0,4.5,7
sip and paint,0,0,2,0,0,0,6,0
art club,0,0,2,0,0,0,7,0
art store near me,0,0,2,0,0,0,8,0
ceramic classes near me,0,0,2,0,0,0,8,0
art gallery phone number,0,0,2,0,0,0,8.5,0
pottery class,0,0,2,1,0,0,8.5,8
art places near me,0,0,2,0,0,0,9.5,0
art store,0,0,2,0,0,0,11,0
sip and paint near me,0,0,2,1,0,0,11,14
mona daniels,0,0,2,0,0,0,14,0
recycled art definition,0,0,2,3,0,0,33.5,31.67
kaa 1,0,0,2,2,0,0,35.5,40
carver center kokomo,0,0,2,2,0,0,57.5,54.5
"kokomo, indiana, united states",0,0,2,0,0,0,58,0
3d recycled art,0,0,2,0,0,0,72,0
indiana art center,0,0,2,1,0,0,72,48
kokomo indiana usa,0,0,2,1,0,0,72,81
artist indiana,0,0,2,0,0,0,75.5,0
adult art classes near me,0,0,1,0,0,0,1,0
art class,0,0,1,1,0,0,1,4
art museum indiana,0,0,1,0,0,0,1,0
art stores near me,0,0,1,0,0,0,1,0
kokomo vacation,0,0,1,0,0,0,1,0
"pop,art near me",0,0,1,0,0,0,1,0
poster shops near me,0,0,1,0,0,0,1,0
the art gallery near me,0,0,1,0,0,0,1,0
art classes,0,0,1,0,0,0,2,0
art shows near me,0,0,1,0,0,0,2,0
art stop,0,0,1,0,0,0,2,0
artworks,0,0,1,18,0,0,2,81
artworks photos,0,0,1,0,0,0,3,0
art,0,0,1,0,0,0,4,0
artist near me for drawing,0,0,1,0,0,0,4,0
fine arts studio near me,0,0,1,0,0,0,4,0
kaa,0,0,1,0,0,0,4,0
photography classes,0,0,1,0,0,0,4,0
art class near me,0,0,1,0,0,0,5,0
ceramics classes,0,0,1,0,0,0,5,0
fine arts studio,0,0,1,0,0,0,5,0
paint place near me,0,0,1,0,0,0,5,0
sculpture class,0,0,1,0,0,0,5,0
watercolor painting classes near me,0,0,1,0,0,0,5,0
fine arts studios,0,0,1,0,0,0,6,0
galaries,0,0,1,0,0,0,6,0
pottery class near me,0,0,1,0,0,0,6,0
water painting classes near me,0,0,1,0,0,0,6,0
watercolor near me,0,0,1,0,0,0,7,0
watercolor classes near me,0,0,1,1,0,0,8,91
art kaa,0,0,1,0,0,0,9,0
art schools near me,0,0,1,0,0,0,9,0
ceramics class,0,0,1,0,0,0,9,0
painting and sip near me,0,0,1,0,0,0,9,0
pottery making near me,0,0,1,0,0,0,9,0
pottery painting near me,0,0,1,1,0,0,9,9
workshops near me,0,0,1,0,0,0,9,0
art supplies near me,0,0,1,0,0,0,10,0
paint ceramics near me,0,0,1,2,0,0,10,10.5
art studio,0,0,1,0,0,0,11,0
arts studio,0,0,1,0,0,0,11,0
exhibit near me,0,0,1,0,0,0,11,0
pottery studios near me,0,0,1,0,0,0,11,0
art classes college,0,0,1,0,0,0,12,0
cheap art near me,0,0,1,0,0,0,13,0
ken gardner kokomo,0,0,1,0,0,0,13,0
pottery places near me,0,0,1,0,0,0,13,0
paint parties near me,0,0,1,0,0,0,14,0
art galleries,0,0,1,0,0,0,15,0
inderhees,0,0,1,0,0,0,16,0
downtown kokomo shops,0,0,1,0,0,0,29,0
kokomo studio,0,0,1,0,0,0,31,0
studio kokomo,0,0,1,0,0,0,31,0
avon arts association,0,0,1,0,0,0,32,0
kokomo indiana downtown,0,0,1,0,0,0,36,0
indiana artist,0,0,1,0,0,0,39,0
kokomo logo,0,0,1,2,0,0,39,53.5
kaa logo,0,0,1,0,0,0,40,0
kokomo center township,0,0,1,0,0,0,40,0
kokomo arts pavilion,0,0,1,1,0,0,41,55
volunteer opportunities kokomo,0,0,1,2,0,0,42,43.5
mark hobson art,0,0,1,0,0,0,43,0
kaa location,0,0,1,0,0,0,45,0
carver center kokomo indiana,0,0,1,0,0,0,49,0
kaa-edu.or.kr,0,0,1,0,0,0,51,0
fine artist,0,0,1,0,0,0,54,0
artamo gallery,0,0,1,1,0,0,55,45
zentangle certification,0,0,1,0,0,0,55,0
recycled materials association,0,0,1,0,0,0,57,0
kaa drawing,0,0,1,0,0,0,58,0
kokomo singers,0,0,1,0,0,0,60,0
art indiana,0,0,1,2,0,0,64,56
kokomo perspective,0,0,1,0,0,0,64,0
"collette oil painting -site:wikipedia.org -site:youtube.com 
-site:amazon.com -site:artsper.com -site:artprice.com -site:facebook.com 
-site:x.com -site:perrotin.com -site:artmajeur.com -site:singulart.com 
-site:instagram.com -site:.gov",0,0,1,0,0,0,65,0
kokomo pictures,0,0,1,0,0,0,65,0
kashi art gallery,0,0,1,0,0,0,74,0
3d art recycled materials,0,0,1,0,0,0,78,0
coca art gallery,0,0,1,0,0,0,78,0
art work shop,0,0,1,0,0,0,80,0
kokomo center township schools,0,0,1,0,0,0,81,0
kawasaki art center,0,0,1,0,0,0,82,0
pomo arts,0,0,1,0,0,0,84,0
kokomo us,0,0,1,0,0,0,86,0
indiana art institute,0,0,1,1,0,0,89,87
kaa artist,0,0,1,0,0,0,90,0
aka art,0,0,1,0,0,0,91,0
kaa camp,0,0,1,0,0,0,91,0
indiana paintings,0,0,1,1,0,0,92,100
logo aleman,0,0,1,0,0,0,94,0
alemán logo,0,0,1,0,0,0,95,0
kokomo 46901,0,0,1,0,0,0,95,0
kokomo united states,0,0,1,0,0,0,95,0
aka-art,0,0,1,0,0,0,96,0
indiana art galleries,0,0,1,0,0,0,96,0
artwork community,0,0,1,0,0,0,99,0
recycled sustainable art,0,0,1,0,0,0,99,0
art in indiana,0,0,1,2,0,0,100,99
que comen los alemanes,0,0,1,0,0,0,101,0
artist from indiana,0,0,1,0,0,0,103,0
artworks gallery kokomo,0,1,0,1,0,1,0,1
kokomo indiana,0,0,0,13,0,0,0,48.77
blick art materials,0,0,0,10,0,0,0,32.9
artwork gallery,0,0,0,8,0,0,0,87.25
blick art,0,0,0,6,0,0,0,26.33
ben seidman,0,0,0,6,0,0,0,79.33
association of midwest museums,0,0,0,5,0,0,0,60.8
artwork shop,0,0,0,4,0,0,0,86.25
watercolor lessons near me,0,0,0,4,0,0,0,89.5
art supply stores near me,0,0,0,3,0,0,0,51.67
united artworks,0,0,0,3,0,0,0,53
kokomo location,0,0,0,3,0,0,0,68.67
2d recycled art,0,0,0,2,0,0,0,21
shopping in kokomo indiana,0,0,0,2,0,0,0,23
pottery workshops in howard county,0,0,0,2,0,0,0,32.5
indiana arts commissioner,0,0,0,2,0,0,0,34.5
indiana arts commission,0,0,0,2,0,0,0,43.5
ko ko mo,0,0,0,2,0,0,0,56
210 n main st,0,0,0,2,0,0,0,57.5
kokomos,0,0,0,2,0,0,0,60
watercolor splash,0,0,0,2,0,0,0,62.5
indiana painting,0,0,0,2,0,0,0,68.5
kokomo in,0,0,0,2,0,0,0,70
where is kokomo indiana,0,0,0,2,0,0,0,72
indiana township,0,0,0,2,0,0,0,81
art store downtown,0,0,0,2,0,0,0,92
iuk.edu,0,0,0,2,0,0,0,98.5
art works,0,0,0,1,0,0,0,1
photo galleries near me,0,0,0,1,0,0,0,1
artist near me,0,0,0,1,0,0,0,2
"painting in kokomo, in",0,0,0,1,0,0,0,4
painting lessons for adults near me,0,0,0,1,0,0,0,5
where to find an art exhibition tawartlist,0,0,0,1,0,0,0,5
pottery making classes near me,0,0,0,1,0,0,0,6
art society,0,0,0,1,0,0,0,7
painting class near me for adults,0,0,0,1,0,0,0,7
painting class near me,0,0,0,1,0,0,0,10
photography classes near me,0,0,0,1,0,0,0,10
sip and paints,0,0,0,1,0,0,0,10
painting lessons for adults,0,0,0,1,0,0,0,11
ceramic painting near me,0,0,0,1,0,0,0,12
paint and wine near me,0,0,0,1,0,0,0,14
blick art store,0,0,0,1,0,0,0,19
fired arts studio kokomo,0,0,0,1,0,0,0,23
block art materials,0,0,0,1,0,0,0,25
blick art.materials,0,0,0,1,0,0,0,27
blick art hours,0,0,0,1,0,0,0,29
watercolor splash png,0,0,0,1,0,0,0,29
kokomo shopping,0,0,0,1,0,0,0,30
blicks art,0,0,0,1,0,0,0,31
mark hobson artist,0,0,0,1,0,0,0,32
blick art materials locations,0,0,0,1,0,0,0,33
blick art materials stores,0,0,0,1,0,0,0,36
united artist main street,0,0,0,1,0,0,0,36
artsmidwest,0,0,0,1,0,0,0,38
dixie pottery,0,0,0,1,0,0,0,40
kokomo to indianapolis,0,0,0,1,0,0,0,42
kokamo,0,0,0,1,0,0,0,43
blick art shop,0,0,0,1,0,0,0,45
kokomo in 46901,0,0,0,1,0,0,0,45
blick art materials near me,0,0,0,1,0,0,0,46
kokomo's,0,0,0,1,0,0,0,47
kaa registration,0,0,0,1,0,0,0,50
"kokomo, in 46901",0,0,0,1,0,0,0,50
210 n main street,0,0,0,1,0,0,0,51
jpg artwork,0,0,0,1,0,0,0,52
watercolour splash,0,0,0,1,0,0,0,52
howard county indiana,0,0,0,1,0,0,0,53
blick watercolors,0,0,0,1,0,0,0,54
ko-ko-mo,0,0,0,1,0,0,0,54
46901,0,0,0,1,0,0,0,57
brandon nett,0,0,0,1,0,0,0,58
where kokomo located,0,0,0,1,0,0,0,58
center township indiana,0,0,0,1,0,0,0,59
seidman center,0,0,0,1,0,0,0,59
art museums indiana,0,0,0,1,0,0,0,60
210 north main street,0,0,0,1,0,0,0,61
artworks fine art studio,0,0,0,1,0,0,0,61
watercolor pottery,0,0,0,1,0,0,0,61
mainstreet art center,0,0,0,1,0,0,0,64
art works inc,0,0,0,1,0,0,0,70
blick art supply store,0,0,0,1,0,0,0,70
howard community kokomo,0,0,0,1,0,0,0,70
kokomp,0,0,0,1,0,0,0,72
past meets present,0,0,0,1,0,0,0,72
recycled 3d art,0,0,0,1,0,0,0,72
indiana art museum,0,0,0,1,0,0,0,76
klamath art gallery,0,0,0,1,0,0,0,76
kokomo events this weekend,0,0,0,1,0,0,0,77
pottery centering,0,0,0,1,0,0,0,81
art museums in indiana,0,0,0,1,0,0,0,82
downtown art center,0,0,0,1,0,0,0,84
blink art materials,0,0,0,1,0,0,0,90
event space kokomo indiana,0,0,0,1,0,0,0,91
museum kaa,0,0,0,1,0,0,0,91
watercolor art classes near me,0,0,0,1,0,0,0,92
watercolor society,0,0,0,1,0,0,0,95
aka painting,0,0,0,1,0,0,0,96